filename,Solve,Parse,Eval,Steps
../smt-lib/AUFLIA/20170829-Rodin/smt8397081929538995814.smt2,0.136,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt3779937699978846193.smt2,0.153,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt5081048436682706951.smt2, 0.043, 10.277, Proofterm: 18.570, 37
../smt-lib/AUFLIA/20170829-Rodin/smt6739123593344712706.smt2, 0.039, 2.622, Proofterm: 1.640, 6
../smt-lib/AUFLIA/20170829-Rodin/smt1032124330408667615.smt2, 0.014, 2.030, Proofterm: 0.057, 1
../smt-lib/AUFLIA/20170829-Rodin/smt8931596844789015820.smt2, 0.133, 5.477, Proofterm: 4.342, 18
../smt-lib/AUFLIA/20170829-Rodin/smt531751793053958769.smt2, 0.325, 4.588, Proofterm: 1.953, 5
../smt-lib/AUFLIA/20170829-Rodin/smt7245409914863952227.smt2, 0.045, 12.238, Proofterm: 15.158, 58
../smt-lib/AUFLIA/20170829-Rodin/smt8865956595536504355.smt2, 0.028, 2.963, Proofterm: 0.888, 1
../smt-lib/AUFLIA/20170829-Rodin/smt6884874971925634308.smt2, 0.201, 7.138, Proofterm: 10.218, 23
../smt-lib/AUFLIA/20170829-Rodin/smt5535024441001047054.smt2, 0.063, 9.311, Proofterm: 6.501, 17
../smt-lib/AUFLIA/20170829-Rodin/smt1216202956579864973.smt2, 0.841, 5.814, Proofterm: 1.125, 15
../smt-lib/AUFLIA/20170829-Rodin/smt962592699688307113.smt2, 0.192, 4.347, Proofterm: 2.929, 6
../smt-lib/AUFLIA/20170829-Rodin/smt7127807059490977370.smt2, 0.009, 3.639, Proofterm: 0.116, 
../smt-lib/AUFLIA/20170829-Rodin/smt3605672765792013082.smt2, 0.080, 9.183, Proofterm: 48.387, 119
../smt-lib/AUFLIA/20170829-Rodin/smt2588978186370965894.smt2,0.478,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt3154552329626202329.smt2, 0.061, 6.953, Proofterm: 6.164, 18
../smt-lib/AUFLIA/20170829-Rodin/smt1857914508354494859.smt2,7.305,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt1768596582840751760.smt2, 0.118, 7.561, Proofterm: 15.104, 101
../smt-lib/AUFLIA/20170829-Rodin/smt1628477078675651658.smt2, 0.014, 10.452, Proofterm: 12.161, 52
../smt-lib/AUFLIA/20170829-Rodin/smt6697114415872057775.smt2, 0.026, 2.963, Proofterm: 0.083, 
../smt-lib/AUFLIA/20170829-Rodin/smt2204639994471250572.smt2, 0.033, 5.127, Proofterm: 4.265, 5
../smt-lib/AUFLIA/20170829-Rodin/smt4041167648919500798.smt2,5.549,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt2968112963950155083.smt2, 0.187, 12.917, Proofterm: 11.296, 52
../smt-lib/AUFLIA/20170829-Rodin/smt6225067006144487894.smt2,0.202,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6458810512919238065.smt2, 0.044, 12.312, Proofterm: 11.091, 29
../smt-lib/AUFLIA/20170829-Rodin/smt4327343499798430515.smt2, 0.017, 2.588, Proofterm: 0.211, 
../smt-lib/AUFLIA/20170829-Rodin/smt8717691583715745137.smt2, 0.076, 7.638, Proofterm: 4.942, 17
../smt-lib/AUFLIA/20170829-Rodin/smt6847120539390537892.smt2, 0.026, 11.682, Proofterm: 13.274, 44
../smt-lib/AUFLIA/20170829-Rodin/smt3377599287556543854.smt2,0.135,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt8165829973752232184.smt2, 0.024, 3.216, Proofterm: 0.182, 1
../smt-lib/AUFLIA/20170829-Rodin/smt2813909872176534744.smt2, 0.116, 5.633, Proofterm: 1.838, 8
../smt-lib/AUFLIA/20170829-Rodin/smt1769654584429525997.smt2, 0.014, 15.561, Proofterm: 18.088, 60
../smt-lib/AUFLIA/20170829-Rodin/smt883595953893691400.smt2, 0.026, 3.004, Proofterm: 3.698, 11
../smt-lib/AUFLIA/20170829-Rodin/smt2213284030338512242.smt2, 0.341, 11.468, Proofterm: 11.300, 46
../smt-lib/AUFLIA/20170829-Rodin/smt511748954890879478.smt2, 0.026, 11.909, Proofterm: 19.566, 69
../smt-lib/AUFLIA/20170829-Rodin/smt5354277719765824768.smt2, 0.179, 6.856, Proofterm: 4.141, 19
../smt-lib/AUFLIA/20170829-Rodin/smt3793100985651008744.smt2, 0.146, 2.782, Proofterm: 0.580, 2
../smt-lib/AUFLIA/20170829-Rodin/smt2908233852339305464.smt2, 0.075, 3.198, Proofterm: 0.257, 1
../smt-lib/AUFLIA/20170829-Rodin/smt7445538880883974443.smt2, 0.067, 8.301, Proofterm: 12.116, 35
../smt-lib/AUFLIA/20170829-Rodin/smt3639784000811325793.smt2,0.342,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6797311703278015873.smt2,0.083,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt121642227126350719.smt2,0.159,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt6138692038992130460.smt2, 0.149, 7.486, Proofterm: 12.125, 37
../smt-lib/AUFLIA/20170829-Rodin/smt1610512121780462649.smt2, 0.016, 9.019, Proofterm: 4.993, 20
../smt-lib/AUFLIA/20170829-Rodin/smt180530979292279200.smt2, 0.211, 2.569, Proofterm: 0.213, 
../smt-lib/AUFLIA/20170829-Rodin/smt2304909033023034280.smt2, 0.130, 2.250, Proofterm: 4.927, 13
../smt-lib/AUFLIA/20170829-Rodin/smt704341423487980174.smt2,0.125,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt1005619206308662052.smt2,0.337,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt4585709713277364641.smt2, 0.118, 3.120, Proofterm: 0.144, 1
../smt-lib/AUFLIA/20170829-Rodin/smt8926194445485306952.smt2, 0.074, 6.381, Proofterm: 10.483, 30
../smt-lib/AUFLIA/20170829-Rodin/smt1538705567673349279.smt2, 0.137, 2.768, Proofterm: 0.805, 8
../smt-lib/AUFLIA/20170829-Rodin/smt3898729084188558698.smt2,9.275,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt2402903614598425867.smt2, 0.129, 4.560, Proofterm: 13.277, 35
../smt-lib/AUFLIA/20170829-Rodin/smt2767101596197762959.smt2, 0.014, 5.956, Proofterm: 1.735, 9
../smt-lib/AUFLIA/20170829-Rodin/smt6490689093819807526.smt2,0.145,TIMEOUT,TIMEOUT,
../smt-lib/AUFLIA/20170829-Rodin/smt4042134823377855486.smt2, 0.169, 9.672, Proofterm: 10.192, 30
../smt-lib/AUFLIA/20170829-Rodin/smt2914290648629721158.smt2, 0.018, 11.095, Proofterm: 9.082, 36
../smt-lib/AUFLIA/20170829-Rodin/smt5196578474867449746.smt2, 0.092, 2.716, Proofterm: 0.962, 8
../smt-lib/AUFLIA/20170829-Rodin/smt8462157437485023694.smt2, 0.033, 9.320, Proofterm: 9.741, 44
