filename,Solve,Parse,Eval,Steps
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1305552.smt2,0.377,1.272,Eval: 0.832.,533
../smt-lib/UF/sledgehammer/TypeSafe/uf.859724.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.755868.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.784556.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1405414.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.780591.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1056495.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.775527.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1267524.smt2,0.156,1.583,Eval: 0.997.,941
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1262852.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1255552.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1402964.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1456533.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1330676.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.861832.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/uf.1396987.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.893449.smt2,0.223,0.225,Eval: 0.035.,3
../smt-lib/UF/sledgehammer/TypeSafe/uf.1176258.smt2,0.200,0.432,Eval: 0.089.,85
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1447383.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.989687.smt2,timeout,,,
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.1093758.smt2,0.499,0.970,Eval: 0.359.,544
../smt-lib/UF/sledgehammer/TypeSafe/smtlib.881227.smt2,timeout,,,
